long_name,overall,age,height_cm,weight_kg,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
alexandr ryazantsev,70,30,182,75,3,68,66,68,72,61,63,68,62,66,74,63,71,61,44,71,71,73,64,77,72,75,74,72,55,63,70,71,53,63,65,55,72,57,67,61,11,13,16,6,11,0
damien perrinelle,70,33,187,78,2,43,39,54,48,68,73,48,39,69,67,31,45,36,30,60,52,47,39,44,62,48,42,68,58,77,42,84,70,20,43,44,59,67,70,63,13,13,14,6,9,0
edgar manucharyan,70,30,177,74,3,78,66,66,71,26,63,68,68,48,70,62,72,39,67,67,67,81,75,75,66,76,60,53,65,62,68,65,32,67,61,61,62,20,22,20,8,12,14,12,7,0
mohammed al shalhoub,70,36,163,60,4,49,67,76,68,31,40,75,64,44,76,64,67,72,71,78,70,48,49,69,62,69,69,58,34,45,67,31,36,69,77,77,67,35,24,21,12,16,12,15,13,0
luke freeman,70,25,172,73,3,78,59,69,72,45,61,68,59,40,69,61,72,67,65,67,70,77,78,83,59,78,56,75,74,57,60,52,50,67,71,60,58,39,48,46,7,12,11,11,8,0
ikechi anya,70,29,168,72,3,86,60,63,74,62,69,66,60,50,67,46,73,50,36,60,68,87,86,92,69,87,73,80,78,70,51,50,63,68,67,55,64,63,64,60,9,15,6,16,13,0
jasmin fejzic,70,31,198,95,1,0,0,0,0,0,0,11,11,13,23,8,15,12,15,16,24,18,34,25,61,19,24,49,27,75,9,34,14,8,32,20,12,11,13,14,73,65,61,68,75,27
joe garner,70,29,178,73,3,76,68,56,67,44,80,49,69,74,62,64,64,49,43,56,67,76,76,74,66,76,69,93,76,76,66,94,36,70,55,69,67,36,49,35,10,15,15,12,15,0
jaroslaw fojut,70,29,188,83,2,55,40,49,40,68,76,41,20,69,58,41,28,31,55,61,51,51,58,54,62,40,68,85,62,82,55,77,72,46,35,39,75,64,69,63,6,16,12,6,6,0
jacques maghoma,70,29,178,73,3,84,62,64,74,30,67,66,65,34,66,50,75,62,57,60,68,86,82,91,62,83,64,66,76,67,61,55,37,59,63,50,75,13,41,27,14,13,9,14,10,0
ben turner,70,28,193,91,2,52,33,40,43,69,72,25,37,74,53,24,40,29,27,55,51,45,58,31,62,32,31,61,52,82,29,75,66,32,27,26,60,69,70,69,14,10,11,11,15,0
hugo filipe da costa oliveira,70,28,178,73,3,85,66,62,72,28,62,67,66,60,59,69,72,68,48,54,68,84,86,82,75,76,71,76,73,57,60,56,23,71,68,60,68,25,28,19,14,14,9,9,11,0
stephen gleeson,70,28,178,80,2,66,64,70,66,64,73,67,60,51,72,66,62,70,66,73,69,63,68,73,68,75,69,80,79,70,70,73,71,59,68,57,73,62,66,60,11,6,12,7,16,0
david cotterill,70,29,175,71,3,76,66,71,70,27,60,76,63,37,66,58,69,80,70,70,69,77,76,77,66,76,70,72,66,61,72,47,30,62,73,63,70,17,32,25,7,11,13,12,13,0
cole skuse,70,31,185,72,2,55,57,67,66,71,74,60,55,67,72,46,62,68,57,69,70,53,57,66,71,68,66,69,84,72,56,70,74,59,66,56,68,69,72,71,13,12,9,9,10,0
antonio balzano,70,31,174,74,2,70,43,54,58,72,75,65,30,55,64,40,53,59,24,58,57,70,70,71,66,80,66,65,77,75,48,74,69,58,31,36,74,73,76,75,15,14,12,8,8,0
mahmoud abdel razek fadlallah,70,31,183,74,5,77,71,64,75,36,55,64,67,43,64,75,77,78,75,61,74,76,78,75,67,76,78,51,40,71,73,34,29,65,61,69,75,24,43,59,6,10,16,8,13,0
lluis sastre reus,70,31,174,70,2,60,57,72,64,62,74,64,53,59,76,43,59,75,72,76,68,60,60,75,67,72,60,71,77,72,64,77,69,59,68,57,62,52,69,61,12,12,13,14,12,0
nauzet aleman viera,70,32,181,76,3,64,73,75,70,48,63,82,67,44,72,66,70,78,76,73,71,63,64,72,65,69,89,52,53,62,75,80,52,67,73,71,59,40,54,49,15,14,12,16,8,0
jan mucha,70,34,189,87,1,0,0,0,0,0,0,15,13,13,20,12,12,14,12,29,24,41,42,48,71,52,14,71,32,62,11,33,24,15,52,41,42,12,14,13,72,69,64,63,74,42
david fernandez cortazar,70,32,186,81,2,56,44,58,51,73,66,50,34,71,64,41,41,56,38,66,61,59,53,57,63,58,72,67,70,72,42,46,77,39,54,36,78,70,74,71,9,11,8,15,16,0
reginal goreux,70,29,175,73,3,71,58,66,68,68,68,67,48,58,67,56,67,68,66,64,68,72,71,74,68,75,73,75,68,62,66,81,69,66,66,58,73,69,70,70,13,12,11,6,15,0
alexandre bonnet,70,30,173,65,3,75,62,70,71,36,58,76,53,46,72,54,71,71,70,64,66,75,75,86,57,81,70,34,91,50,76,43,52,60,63,66,67,33,30,21,6,7,13,6,9,0
esteban dreer,70,35,185,79,1,0,0,0,0,0,0,21,12,19,14,11,22,11,17,20,14,35,34,49,69,23,12,55,29,43,11,21,11,11,42,11,14,17,14,11,70,68,62,68,70,34
nicolas viola,70,27,180,77,3,69,60,72,67,57,69,68,55,62,73,58,66,70,69,75,70,71,67,69,69,62,67,64,71,70,69,66,63,49,73,61,64,49,58,56,14,6,9,11,11,0
alfredo juan mayordomo,70,33,186,78,2,45,67,59,55,38,80,51,69,73,67,60,52,63,45,34,63,47,44,41,82,39,79,61,72,86,51,81,45,79,73,64,76,32,33,20,10,9,13,12,10,0
christoph leitgeb,70,32,172,69,3,67,55,70,72,60,54,62,47,39,72,60,70,72,67,70,74,69,66,76,65,74,65,60,68,45,59,58,69,60,74,64,74,63,60,55,1,1,1,1,1,0
tom clarke,70,29,180,77,2,59,30,37,39,69,78,40,21,68,42,35,26,25,21,37,44,55,62,60,63,67,55,87,66,81,27,85,70,29,34,16,57,67,71,68,14,8,7,12,10,0
jason pearce,70,29,185,71,2,46,23,43,46,70,79,42,13,69,49,23,40,31,27,54,47,37,53,58,63,60,27,73,77,82,36,76,68,37,34,32,58,69,71,72,7,6,7,7,8,0
sam baldock,70,28,170,67,3,80,69,50,72,33,64,48,70,59,49,64,69,65,62,37,73,79,81,81,68,83,69,73,82,60,68,47,35,76,55,68,67,33,26,28,8,14,13,8,14,0
gabriel gomez,70,33,183,82,3,65,59,69,67,65,76,72,50,63,68,58,64,70,69,70,68,64,66,81,72,62,74,66,74,77,61,80,69,55,66,69,72,63,66,60,9,11,16,6,13,0
jeremy choplin,70,32,183,83,2,58,40,55,59,67,75,41,25,68,67,24,62,34,36,68,63,50,65,34,62,56,59,80,73,77,54,73,71,48,50,42,66,65,68,64,6,16,11,9,12,0
tom de sutter,70,31,192,92,3,50,73,64,60,40,78,54,74,78,70,73,63,57,54,54,68,43,55,33,61,32,75,57,68,89,71,69,37,67,73,68,64,33,41,29,10,11,10,7,13,0
yura movsisyan,70,29,181,81,3,76,72,49,65,34,69,30,68,66,59,69,64,62,56,22,66,73,79,64,68,60,79,65,69,71,75,66,50,67,66,77,66,29,21,23,9,6,7,15,8,0
sung ryong jung,70,32,191,90,1,0,0,0,0,0,0,10,12,14,32,17,12,19,11,33,14,41,49,14,70,43,18,45,25,41,16,31,25,14,39,12,52,15,11,12,70,67,79,69,69,45
pablo escobar,70,38,178,70,3,68,69,65,70,51,65,64,69,68,68,65,72,58,64,65,67,66,70,70,71,68,72,67,66,69,68,53,33,76,65,66,71,54,52,57,7,14,13,10,16,0
edwin valencia,70,32,185,82,2,51,55,63,63,74,71,62,48,77,71,42,61,45,43,68,68,53,49,58,62,60,68,65,50,79,65,78,73,44,54,51,69,75,74,70,6,14,13,14,16,0
lukas jutkiewicz,70,28,185,73,3,67,66,55,67,38,73,51,66,79,58,60,67,53,52,49,71,60,73,59,67,66,72,81,69,79,60,61,33,71,60,76,64,42,27,24,12,9,6,10,16,0
antony robic,70,31,181,77,2,70,61,68,71,41,68,64,64,50,72,47,70,53,72,58,74,71,70,70,75,59,62,50,85,65,56,59,62,74,73,58,66,33,37,25,8,7,6,9,14,0
robert strauss,70,30,175,70,2,77,53,61,66,65,65,71,46,59,64,49,63,53,62,53,65,78,76,77,67,80,67,80,82,57,54,60,64,52,55,62,66,63,69,69,11,9,9,14,10,0
tobias werner,70,31,174,70,2,76,71,69,68,49,61,71,71,70,70,71,67,68,72,66,66,75,77,73,66,72,75,85,69,54,72,61,62,71,68,56,69,39,49,36,9,14,14,12,15,0
julio cesar dominguez,70,29,175,73,2,65,41,58,60,68,72,58,29,67,62,38,57,45,47,57,61,66,64,66,66,66,61,84,68,74,50,71,70,44,56,30,61,66,70,69,10,14,6,11,8,0
dimitar rangelov,70,34,183,80,3,54,68,65,68,40,68,62,69,74,68,59,66,66,62,64,68,53,55,70,71,74,67,76,55,75,65,67,36,76,62,74,66,32,42,33,13,15,14,13,6,0
julian schuster,70,32,189,80,2,33,62,70,61,66,70,69,55,52,73,55,59,73,71,69,68,31,34,51,70,49,73,33,68,73,66,74,71,56,67,68,73,67,66,65,11,16,7,11,6,0
bernd nehrig,70,30,180,79,2,71,52,63,62,68,76,62,40,53,68,57,57,68,52,62,65,68,73,67,65,74,71,68,78,75,59,78,71,48,58,59,68,68,71,70,16,13,9,10,11,0
ignacio gonzalez,70,32,184,84,2,46,38,50,49,69,78,47,34,72,58,44,48,42,40,53,54,45,47,44,57,40,42,69,67,83,41,83,65,36,43,46,48,70,70,70,13,16,12,15,12,0
ismail konuk,70,29,187,73,2,48,35,54,58,70,73,39,30,72,69,15,55,33,41,64,59,51,46,60,65,65,47,71,74,70,43,78,73,28,46,32,50,69,67,70,6,10,16,10,14,0
tamas priskin,70,30,189,82,3,64,71,56,59,38,69,42,75,72,64,61,57,67,49,48,66,66,63,48,67,43,75,70,51,81,57,61,34,71,61,76,73,35,33,33,13,10,8,14,8,0
arnaud sutchuin djoum,70,28,182,78,3,72,60,67,69,63,71,52,56,53,78,55,66,57,53,74,70,71,73,78,67,73,70,74,76,75,62,53,58,63,62,51,58,66,67,64,16,13,7,8,12,0
anderson miguel da silva,70,33,183,78,3,64,67,58,66,28,75,47,67,72,65,67,64,66,62,45,68,61,67,72,62,60,70,89,55,81,61,80,20,75,61,71,76,18,30,22,4,4,4,4,4,0
roberto canella suarez,70,29,180,73,3,73,49,67,64,67,73,76,44,53,69,48,59,70,58,66,68,72,73,71,80,69,59,75,65,73,49,80,77,49,55,57,66,74,61,60,12,10,16,8,16,0
janus mats drachmann,70,29,179,71,2,72,50,65,65,62,77,61,40,58,68,40,61,58,48,70,67,73,72,68,71,76,66,67,89,69,58,84,69,51,68,44,72,53,67,63,12,9,10,14,10,0
danny holla,70,29,181,79,2,52,69,73,64,61,73,77,60,63,72,55,62,77,76,68,67,50,54,58,71,61,82,45,74,73,79,78,60,64,72,76,75,58,64,62,7,16,15,10,16,0
adel taarabt,70,28,185,80,4,66,68,67,82,32,55,70,64,36,68,77,85,80,71,54,82,68,64,73,64,78,74,39,30,68,70,59,39,66,68,70,77,29,32,25,4,6,4,4,6,0
anthony pilkington,70,29,181,81,3,69,71,69,70,29,73,76,69,61,65,70,70,72,74,65,72,68,69,71,68,66,74,69,72,76,74,70,49,68,71,65,67,17,22,18,13,14,13,15,13,0
zoltan stieber,70,28,175,67,3,70,66,67,73,31,54,67,65,45,70,70,73,75,69,56,72,75,66,76,67,81,73,66,72,49,63,41,31,64,68,65,69,26,31,32,6,6,9,16,7,0
brecht capon,70,29,180,72,2,72,63,65,67,69,68,67,64,59,66,61,66,60,64,62,64,72,72,78,68,74,62,79,78,64,63,64,67,66,66,65,72,73,69,67,13,15,9,16,14,0
fernando h boldrin,70,28,181,75,3,67,68,69,70,59,63,63,67,60,75,65,69,62,64,72,72,69,66,67,69,65,68,52,61,64,71,64,62,68,67,66,66,59,57,58,13,13,11,15,10,0
hugo leonardo silva serejo,70,31,181,76,2,60,65,68,72,65,75,60,62,55,72,51,73,54,69,70,70,58,62,77,65,62,73,80,74,75,70,73,70,56,71,63,60,63,66,64,14,11,12,7,12,0
rasmus bengtsson,70,31,186,80,2,48,37,53,53,70,68,38,38,71,63,35,48,42,24,60,57,51,45,55,65,56,36,84,51,76,35,65,66,36,55,46,69,65,74,78,11,8,8,8,15,0
danny vukovic,70,32,187,96,1,0,0,0,0,0,0,11,11,16,22,11,11,15,13,12,18,53,47,41,74,58,18,66,34,76,13,41,17,6,38,37,34,15,15,11,70,68,63,65,70,50
johann carrasso,70,29,188,82,1,0,0,0,0,0,0,11,10,11,17,12,14,16,13,10,15,52,42,56,66,55,20,51,31,56,8,22,24,12,46,14,17,12,9,8,68,73,66,71,66,47
djamel bakar,70,28,171,69,3,79,71,65,73,29,61,64,70,64,66,68,73,74,59,61,71,79,79,78,66,80,75,76,62,63,71,49,43,66,64,63,65,19,19,21,8,16,13,13,12,0
andreas lukse,70,29,187,82,1,0,0,0,0,0,0,9,12,8,32,12,13,12,11,25,22,46,42,32,65,57,21,59,45,70,9,22,28,15,38,24,13,10,10,9,71,68,60,69,71,44
wayne sandilands,70,33,184,78,1,0,0,0,0,0,0,13,11,11,19,11,11,10,12,21,35,50,56,57,61,45,11,75,26,72,11,46,22,12,14,37,62,12,15,10,66,75,67,71,68,53
xuepeng li,70,28,186,75,2,74,55,67,69,68,66,72,52,64,67,59,73,61,48,70,66,76,73,63,67,68,55,48,71,67,58,62,68,63,68,51,65,67,70,65,8,16,9,12,12,0
kermit erasmus,70,26,167,63,3,76,70,60,70,33,61,56,70,66,66,69,70,65,64,41,68,79,74,77,65,80,72,54,72,58,70,58,24,69,65,70,66,31,34,19,16,7,12,10,8,0
kazenga lualua,70,26,180,77,4,88,69,63,71,33,68,63,65,56,65,67,69,63,68,57,71,90,86,88,67,70,80,57,69,67,70,70,28,67,64,64,68,19,40,43,8,9,13,16,11,0
ricardo martins de araujo,70,30,189,80,2,56,28,37,40,71,72,28,19,69,52,23,26,27,37,35,49,54,57,66,65,58,47,76,58,78,27,71,72,31,25,42,65,70,71,70,8,9,14,6,9,0
david gonzalez,70,34,194,84,1,0,0,0,0,0,0,12,12,11,23,13,11,14,18,22,25,34,37,44,63,26,20,62,26,72,12,44,24,15,34,15,35,14,11,12,66,72,66,74,68,36
jo inge berget,70,26,186,81,2,80,70,65,65,45,74,62,68,58,66,65,64,57,64,65,66,77,83,67,68,64,80,49,93,72,66,62,46,72,68,62,74,41,44,42,15,7,15,7,16,0
anthony weber,70,30,190,82,2,30,28,58,40,72,69,32,28,76,71,25,24,53,37,73,64,29,30,29,65,52,28,64,64,76,24,58,74,36,57,42,73,73,73,61,9,8,10,16,15,0
nicolo cherubin,70,30,188,80,2,46,19,40,46,71,74,28,18,73,48,16,42,20,15,52,46,46,46,52,68,47,25,70,68,77,18,74,70,20,38,18,68,70,71,71,11,10,9,7,5,0
georges mandjeck,70,28,185,77,2,68,46,63,64,67,79,54,43,61,72,42,64,45,48,65,63,70,67,68,63,59,57,67,81,79,40,79,70,67,62,39,68,67,69,65,16,15,8,12,8,0
adlene guedioura,70,31,178,81,3,69,68,67,68,63,80,62,62,63,73,64,68,36,56,71,71,68,69,65,65,67,83,76,76,81,72,81,64,59,68,57,70,60,66,65,13,14,14,12,6,0
david pollet,70,28,188,81,2,67,74,48,56,31,72,29,73,72,63,72,52,58,50,32,62,65,68,58,67,47,80,74,68,77,70,62,23,72,49,71,62,31,25,22,8,8,16,13,16,0
prince oniangue,70,28,190,78,2,63,70,64,66,70,79,48,68,80,70,60,65,67,68,66,69,62,63,67,72,56,79,82,80,81,74,70,71,66,68,52,70,67,70,65,7,12,8,14,11,0
jens grahl,70,28,192,91,1,0,0,0,0,0,0,19,12,13,22,11,12,11,10,20,23,41,48,44,69,43,20,58,39,74,13,42,23,13,32,21,55,10,13,12,73,65,60,66,74,45
arne feick,70,29,179,79,2,70,62,62,64,69,73,70,58,62,65,43,63,64,63,55,61,73,68,72,69,71,73,68,81,69,65,76,65,57,53,68,63,75,68,68,16,16,10,7,8,0
joshua john,70,28,175,63,4,89,63,63,73,29,49,69,62,53,65,63,71,65,45,53,70,86,91,90,68,74,65,64,60,38,63,59,26,65,65,62,69,24,27,30,6,12,16,14,12,0
robert tesche,70,30,180,71,2,64,68,68,70,66,74,68,63,75,70,68,69,69,65,69,72,65,63,68,71,72,76,83,77,74,73,70,67,65,66,62,70,61,68,64,6,15,14,15,6,0
emanuele terranova,70,30,185,86,2,69,31,43,49,70,72,30,21,67,54,15,43,59,22,53,48,68,69,70,62,52,66,87,53,80,14,70,67,22,30,65,60,71,72,70,4,10,11,6,12,0
dirk marcellis,70,29,180,80,2,38,33,54,48,72,70,55,20,65,62,26,42,49,24,53,51,37,38,58,64,53,59,70,60,74,25,71,77,51,47,61,68,69,74,71,16,10,13,7,13,0
hector verdes ortega,70,33,185,80,2,36,32,45,39,69,81,31,20,68,56,16,34,41,36,50,43,37,36,33,57,54,74,78,58,89,23,90,64,27,38,32,61,69,71,70,9,11,14,6,6,0
teddy chevalier,70,30,178,79,3,78,71,63,71,33,70,63,70,58,64,73,73,62,57,59,65,80,77,75,68,79,74,73,70,66,72,77,38,66,67,65,66,25,29,33,7,8,16,16,15,0
mohammed abdellaoue,70,31,182,80,3,65,68,61,67,39,66,63,67,66,64,67,65,50,57,48,67,62,68,73,73,71,70,77,61,73,62,52,42,78,68,75,75,38,35,23,6,9,8,16,8,0
brayan angulo,70,27,174,73,2,81,54,61,67,66,76,69,51,38,60,25,66,61,46,63,67,85,78,70,68,73,70,75,80,78,59,66,68,45,57,34,70,69,70,71,12,9,11,15,6,0
mix diskerud,70,26,184,71,3,68,64,69,69,56,68,65,63,59,73,59,68,75,61,69,71,69,67,73,65,62,70,74,80,65,64,57,61,68,67,59,67,54,56,52,6,6,16,16,16,0
funso ojo,70,25,178,71,3,70,64,69,68,58,69,69,59,58,75,52,65,45,56,68,69,73,67,83,66,70,74,70,76,66,69,66,65,64,68,65,74,50,63,56,11,16,13,8,14,0
marco schonbachler,70,27,171,67,3,78,60,65,73,36,54,65,61,36,64,49,72,64,61,64,70,79,78,80,66,84,63,57,64,60,55,28,49,78,70,50,66,37,32,23,12,16,16,7,15,0
raffaele bianco,70,29,180,80,2,71,54,67,68,56,71,49,45,55,73,42,63,71,69,75,73,72,70,72,69,73,65,66,75,70,61,69,63,63,69,73,69,49,59,55,13,8,13,7,13,0
gabriele perico,70,33,183,75,2,69,47,54,61,70,72,66,30,68,62,44,60,59,61,56,62,68,70,58,67,64,63,60,74,72,69,71,67,39,23,49,67,69,72,74,3,3,3,3,3,0
giuseppe bellusci,70,27,184,80,2,59,44,53,59,70,74,38,40,64,59,26,56,48,60,59,60,58,60,62,66,65,66,58,68,74,36,84,72,36,50,40,66,68,72,69,9,6,14,8,15,0
riccardo maniero,70,29,183,82,3,62,69,52,64,21,73,40,71,70,60,62,59,62,32,50,69,63,61,71,68,56,69,80,73,81,62,52,20,75,55,74,70,11,18,13,8,11,9,9,12,0
eric lichaj,70,28,175,80,2,71,45,55,68,70,73,60,40,57,68,34,69,48,31,53,63,75,67,70,69,79,58,72,80,64,42,87,67,48,36,52,50,73,73,70,13,14,6,9,12,0
adam bogdan,70,29,194,92,1,0,0,0,0,0,0,15,11,11,16,11,11,18,12,12,18,52,56,35,67,41,16,63,33,74,14,20,24,13,38,18,28,15,11,16,71,68,66,69,72,54
jorge villafana,70,27,175,68,2,77,58,66,67,66,63,70,54,61,67,55,65,62,55,66,67,77,77,76,69,75,68,55,72,62,55,55,66,64,63,63,72,65,68,67,8,16,10,16,6,0
denis petric,70,29,186,80,1,0,0,0,0,0,0,11,12,11,18,16,14,10,12,13,21,47,46,34,69,41,25,57,30,57,14,19,13,12,25,22,40,12,13,12,71,62,59,71,73,46
arnold bouka moutou,70,28,176,72,2,71,22,61,69,68,66,69,18,52,69,17,67,45,53,58,72,74,69,68,67,84,16,65,70,62,22,72,68,58,49,51,69,73,68,73,16,6,16,9,13,0
enrique sola clemente,70,31,185,70,3,51,67,62,70,46,63,59,68,78,71,65,71,59,59,55,73,56,47,65,61,68,69,59,30,76,65,72,43,71,56,63,63,40,45,42,6,9,10,4,2,0
maciej sadlok,70,28,186,80,3,76,56,63,61,69,76,69,46,66,61,34,61,73,66,58,64,77,75,59,59,57,73,81,81,75,67,71,68,45,59,61,66,70,70,67,15,7,8,11,12,0
massimo volta,70,30,184,78,2,59,31,43,48,69,73,43,22,67,52,24,39,39,37,50,52,55,62,73,66,54,54,87,64,75,32,74,64,24,23,30,60,70,73,70,10,9,9,14,7,0
jordon mutch,70,25,184,81,2,64,67,69,68,63,71,68,62,67,71,44,67,75,71,69,73,63,65,65,68,63,76,67,67,72,72,74,63,70,66,67,68,62,63,61,11,13,13,11,8,0
tommy smith,70,27,187,82,2,68,32,51,43,69,78,49,24,74,58,30,30,23,32,55,55,66,70,60,63,52,41,75,76,80,38,75,66,43,49,34,48,67,72,67,11,16,9,15,10,0
mateus alberto contreira goncalves,70,34,187,83,4,61,65,55,66,31,80,52,61,82,66,73,65,57,42,45,70,52,69,61,60,66,80,73,75,87,58,72,32,71,51,58,56,13,32,25,10,9,13,15,7,0
rene roman hinojo,70,33,186,79,1,0,0,0,0,0,0,12,18,17,25,19,14,16,22,40,19,51,56,62,67,60,23,82,24,67,17,29,16,15,19,21,33,14,13,19,79,68,66,68,61,54
khaled adenon,70,31,181,72,2,56,37,56,49,69,75,55,39,58,59,33,37,46,48,61,62,57,55,53,66,69,35,90,69,75,37,80,66,17,50,55,66,69,73,72,12,10,7,15,13,0
javier cortes,70,27,170,75,4,74,68,69,71,59,71,66,66,59,71,80,70,75,72,67,71,72,75,77,67,77,69,67,77,72,70,60,61,71,69,65,70,54,66,51,16,11,11,10,16,0
anders konradsen,70,26,183,76,3,68,66,66,66,65,79,65,62,64,68,68,64,60,64,69,65,66,69,69,75,72,75,73,92,75,68,75,65,69,65,59,67,62,67,67,8,7,9,14,16,0
guillermo molins,70,28,186,83,3,66,72,65,72,35,63,63,72,46,68,65,72,65,60,54,73,65,67,70,70,66,75,33,55,75,69,52,33,74,71,70,77,25,42,37,6,15,16,7,6,0
enrique perez,70,28,177,73,2,78,49,60,64,68,72,67,44,66,64,46,60,56,32,61,67,76,79,67,67,69,60,76,75,72,48,66,65,60,53,46,65,69,70,70,11,15,8,6,8,0
david meyler,70,28,191,81,2,60,65,65,69,69,81,66,67,71,69,64,71,50,52,67,70,62,58,58,72,58,70,70,82,79,60,86,68,65,63,47,73,70,69,65,13,9,14,15,12,0
kirill kombarov,70,30,182,72,2,72,62,67,73,68,68,70,61,57,67,69,73,72,66,65,74,71,72,76,62,70,65,61,77,64,61,70,67,65,66,61,64,72,67,69,7,13,13,9,15,0
sergey parshivlyuk,70,28,179,78,2,76,55,63,67,69,72,67,54,65,66,45,68,56,42,57,66,75,76,64,64,73,57,78,75,70,56,72,65,67,64,57,62,69,71,72,8,15,14,7,8,0
george corral,70,26,176,70,2,75,55,63,64,68,67,67,48,62,66,38,63,70,55,64,65,74,75,66,66,62,63,62,77,65,64,60,65,51,53,63,64,70,70,70,12,10,7,11,10,0
ariel borysiuk,70,25,180,70,2,66,61,65,67,65,71,59,52,52,68,59,64,58,59,65,68,68,65,71,70,73,78,79,70,67,71,81,71,56,70,47,71,63,68,67,15,12,12,15,12,0
mervan celik,70,27,177,74,3,76,67,63,76,24,65,67,65,56,68,69,77,68,41,55,73,77,76,79,69,75,73,74,62,63,69,73,15,65,62,51,64,22,22,21,11,12,15,10,13,0
emir kujovic,70,29,194,88,2,53,72,53,57,29,73,33,73,73,60,70,58,66,70,54,66,51,55,40,58,32,74,43,62,89,67,54,21,77,51,69,70,20,34,15,16,13,13,9,9,0
diallo guidileye,70,27,181,76,2,69,35,60,59,66,77,38,17,46,70,17,50,55,54,65,65,67,70,74,72,61,60,80,82,74,53,79,68,40,64,32,73,66,71,64,12,11,10,9,16,0
essam el hadary,70,44,188,87,1,0,0,0,0,0,0,20,14,16,16,12,17,17,12,14,25,28,39,21,67,41,18,59,34,73,18,29,16,14,16,20,57,12,19,15,65,72,66,75,67,34
emmanuel riviere,70,27,182,80,2,71,67,58,69,38,67,60,65,72,61,74,67,57,49,52,68,73,70,87,63,65,73,82,63,72,64,57,24,72,59,66,67,29,45,40,9,10,16,10,16,0
diogo filipe guerreiro viana,70,27,174,68,4,83,62,64,74,25,60,70,57,44,60,53,74,69,70,59,72,84,82,78,62,82,73,44,71,53,64,69,35,63,64,53,67,19,20,23,15,15,11,9,15,0
ante budimir,70,25,190,75,2,61,71,45,64,31,68,41,75,73,58,66,65,44,31,30,69,52,68,58,66,42,70,36,69,75,64,55,24,72,39,65,68,20,35,27,11,14,8,16,15,0
thomas kaminski,70,24,190,78,1,0,0,0,0,0,0,18,14,10,32,17,11,11,17,32,16,47,45,52,66,42,21,65,31,62,15,29,17,18,42,24,47,11,11,17,70,72,64,64,74,46
vincent rufli,70,29,180,76,2,74,57,66,68,66,77,71,53,64,67,33,69,46,54,66,69,78,71,67,63,65,64,81,81,74,61,76,66,70,66,51,65,64,67,70,7,14,9,12,7,0
manuel iori,70,35,182,72,2,60,55,70,64,58,70,61,41,63,74,64,61,61,65,73,70,70,51,60,69,68,66,54,74,70,69,71,61,51,75,73,73,51,61,61,11,9,8,9,9,0
vincent sasso,70,26,190,82,2,42,27,47,52,70,66,47,22,72,57,26,48,37,26,53,59,47,37,46,65,46,40,67,43,76,21,67,72,22,32,41,62,67,72,70,11,11,12,7,8,0
semir stilic,70,29,183,75,3,53,65,71,71,24,50,68,64,53,72,64,69,71,74,69,72,52,53,76,74,65,67,40,64,50,64,33,23,68,75,62,53,12,25,25,15,15,14,11,7,0
johannes flum,70,29,190,82,2,41,62,69,64,68,69,66,54,65,72,59,64,58,47,70,69,40,42,51,69,49,77,53,63,74,67,68,73,59,73,57,76,65,69,62,16,11,12,7,15,0
william remy,70,26,184,79,2,74,40,59,62,67,83,66,27,68,57,25,65,30,55,62,58,73,74,58,60,56,71,91,78,88,49,75,68,28,60,25,61,65,69,65,9,12,9,10,12,0
rodrigo salinas,70,29,180,78,3,71,61,66,68,66,70,70,53,61,68,44,69,70,61,58,70,69,72,63,66,56,74,65,78,69,67,62,67,65,66,73,66,65,68,68,10,6,9,16,14,0
declan rudd,70,26,191,85,1,0,0,0,0,0,0,15,12,14,36,14,20,15,13,36,23,54,46,50,64,34,12,46,31,64,19,24,22,13,31,43,39,13,13,14,75,66,65,66,74,50
cristian alvarez,70,31,186,83,1,0,0,0,0,0,0,14,11,12,20,15,13,12,14,21,22,45,50,63,63,53,22,60,38,68,15,25,24,17,19,14,33,13,14,15,70,69,69,70,72,48
francesco renzetti,70,29,174,65,2,80,52,64,68,65,71,69,48,52,67,48,67,67,65,63,65,77,82,78,68,78,65,73,82,66,50,69,67,52,55,43,66,67,67,63,8,9,5,12,10,0
jamie murphy,70,27,178,72,3,79,68,64,70,39,69,65,69,49,65,66,71,63,57,63,67,80,79,74,64,74,66,73,79,69,67,56,47,66,64,67,74,24,45,36,16,16,16,11,15,0
aron gunnarsson,70,28,177,70,2,65,62,67,69,66,77,64,57,68,71,61,66,56,59,68,72,64,65,76,71,74,70,75,78,75,66,83,72,62,65,52,65,58,69,69,11,6,16,10,9,0
