,long_name,overall,age,height_cm,weight_kg,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
2881,breno ronaldo duarte catarino,73,29,181,72,2,73,71,70,73,38,64,72,69,56,70,56,74,62,75,65,73,75,72,77,67,69,74,60,73,58,77,70,22,71,72,65,70,48,35,33,10,7,13,13,7,0
2882,leonardo luis sandelas junior,73,29,183,78,2,61,53,65,64,71,75,55,46,61,72,49,61,59,45,71,67,60,61,65,71,59,68,73,77,73,58,76,75,43,64,54,69,73,72,68,15,15,18,8,7,0
2883,dago filipe esteiro cortejo,73,25,178,75,2,64,76,52,67,25,59,38,76,73,69,69,68,42,37,42,67,64,64,60,78,60,77,62,53,70,82,36,18,76,50,62,60,19,23,19,10,12,13,6,14,0
2884,luis david couprins acuna,73,21,177,72,2,71,65,66,62,74,69,43,57,71,77,63,58,63,54,75,60,72,71,79,64,74,80,66,75,62,73,79,77,54,65,62,61,79,71,63,11,13,16,8,10,0
2885,nuno caio lisareda abravanel,73,21,190,88,2,78,74,60,73,29,60,51,75,68,67,75,74,62,45,47,72,80,77,78,72,66,77,69,68,62,68,41,29,76,72,75,77,27,23,18,7,6,9,7,11,0
2886,rodolfo dilson pitta fonseca,73,21,179,77,2,51,75,68,64,43,81,69,75,81,71,70,61,61,46,70,72,48,53,50,73,60,80,85,73,84,69,80,42,77,68,79,75,42,38,29,13,14,9,9,7,0
2887,marcos alam paneira almeida,73,21,182,73,2,54,57,67,68,75,68,61,59,72,73,41,71,42,43,71,66,59,50,62,73,64,54,76,71,65,64,68,72,41,71,51,66,78,75,74,11,10,9,8,9,0
2888,claudiano igor paes neto,73,33,175,75,2,79,63,71,74,49,62,61,66,33,76,45,78,63,66,70,75,81,77,61,73,75,57,55,78,67,63,29,35,73,78,62,66,68,47,39,10,8,9,14,8,0
2889,thiago marcos rolim nascimento,73,25,169,67,2,79,69,69,73,39,52,77,70,55,69,61,76,53,54,61,71,77,80,73,68,80,74,59,56,53,60,42,34,79,73,64,57,33,42,43,11,10,12,10,8,0
2890,marlon lourival nideiro cintra,73,25,169,66,4,77,63,71,77,32,51,71,64,42,75,74,75,73,69,60,74,82,72,88,80,85,59,70,69,45,56,39,36,72,74,68,74,33,24,33,11,9,7,7,9,0
2891,leonardo miguel garcia caldeira,73,25,175,75,4,69,72,73,74,29,67,75,72,77,73,61,75,79,76,64,75,72,67,71,70,75,72,78,71,66,77,61,22,72,76,65,76,25,24,22,18,16,13,15,15,0
2892,alvin severino sousa diniz,73,25,183,79,4,69,69,72,73,30,70,73,62,61,75,72,74,71,72,61,75,73,65,66,82,62,77,55,71,77,74,54,33,70,76,66,74,16,31,32,12,16,7,15,9,0
2893,fabricio sandro arnoia sepa,73,29,175,73,4,80,65,67,73,27,58,71,65,72,79,62,75,45,48,45,71,78,81,71,71,82,63,54,57,62,64,49,22,77,68,72,72,35,12,11,8,9,15,16,8,0
2894,mouctar diakhaby,73,24,189,78,2,58,38,53,58,74,75,28,36,80,70,31,56,34,26,57,61,59,58,57,67,46,49,78,69,77,29,76,73,47,57,49,69,72,75,70,15,11,10,14,11,0
2895,gojko cimirot,73,28,178,77,3,65,62,69,70,69,73,58,57,55,76,56,66,61,64,74,73,66,65,72,72,72,72,64,85,70,67,68,69,57,68,60,72,71,72,68,8,15,9,7,13,0
2896,hauke wahl,73,27,189,85,3,62,32,55,63,74,75,28,30,73,73,21,58,22,20,65,68,50,72,56,70,66,44,73,79,79,24,60,76,29,61,45,74,74,75,67,15,14,5,13,7,0
2897,trevoh chalobah,73,21,191,84,3,65,43,63,68,72,77,53,41,69,73,34,69,48,43,68,72,62,68,56,71,59,50,61,72,82,41,73,73,47,62,42,63,69,74,74,5,5,9,9,7,0
2898,joe aribo,73,24,183,76,4,84,67,71,77,67,71,62,67,56,76,58,77,68,59,71,76,82,85,85,69,77,72,66,78,69,66,67,69,69,75,61,72,66,70,68,14,13,11,5,7,0
2899,nejc skubic,73,32,178,75,3,71,53,64,70,71,76,71,44,64,69,60,72,50,45,64,67,72,70,71,67,66,64,71,89,72,50,73,73,69,56,77,66,72,72,68,14,14,7,7,10,0
2900,kelvin amian,73,23,180,78,2,79,48,63,68,73,79,66,43,70,71,46,65,69,39,60,69,77,80,72,74,76,72,79,84,79,35,72,72,65,55,42,70,73,73,73,7,8,14,14,11,0
2901,jamal lewis,73,23,178,70,3,77,53,64,74,70,69,67,53,56,71,51,75,61,40,64,72,76,77,73,68,76,60,68,79,66,44,65,69,70,57,38,75,70,74,69,14,7,5,5,13,0
2902,josh dasilva,73,22,184,75,3,74,70,73,74,62,75,68,67,50,77,57,75,71,39,75,75,73,74,72,71,71,78,48,75,79,78,70,60,68,76,55,75,66,64,62,11,13,8,10,14,0
2903,laszlo kleinheisler,73,27,173,70,3,77,70,69,77,60,73,65,66,44,73,48,77,72,61,67,74,81,73,87,76,82,83,63,82,67,75,77,59,71,67,58,76,64,63,60,7,12,7,6,12,0
2904,ronael pierre gabriel,73,23,177,80,3,76,48,60,69,71,72,68,41,62,67,43,69,60,35,51,69,73,78,69,69,73,57,89,73,73,53,65,70,58,54,56,65,72,74,71,11,10,10,6,10,0
2905,mitchell van bergen,73,21,170,62,3,93,65,64,75,27,51,69,66,34,64,62,74,74,54,53,72,94,92,93,69,82,65,39,80,40,68,44,23,67,69,42,65,35,21,23,7,14,13,11,11,0
2906,antonio latorre grueso,73,23,171,64,3,77,56,71,71,68,61,79,55,65,72,59,70,75,38,75,71,78,76,73,70,79,64,51,67,56,53,67,67,68,64,39,64,68,70,71,7,10,13,9,9,0
2907,denys boyko,73,33,197,85,1,0,0,0,0,0,0,11,18,18,29,7,16,11,14,41,22,49,48,58,72,28,51,73,33,79,17,38,12,9,42,15,64,19,12,11,76,67,68,75,72,49
2908,timothy fosu mensah,73,23,185,80,3,77,60,64,65,72,76,64,57,69,72,55,63,60,34,63,67,75,79,72,65,62,69,74,68,78,60,79,70,59,61,48,67,72,74,74,11,8,8,7,11,0
2909,federico ricca,73,26,178,73,2,70,52,60,67,72,73,68,40,68,67,24,64,45,40,58,68,71,69,70,70,72,72,79,78,68,66,78,73,58,50,38,65,72,73,73,13,13,8,6,8,0
2910,takuma asano,73,26,173,71,3,90,69,62,75,30,61,62,73,60,69,65,74,61,39,47,71,91,89,91,76,79,69,79,71,61,59,46,29,71,66,65,70,31,22,20,15,7,6,9,14,0
2911,claudio bravo,73,24,170,69,3,73,50,64,73,71,68,70,48,53,66,45,76,51,38,60,71,75,72,72,63,74,59,73,75,61,47,73,75,57,69,47,64,71,73,74,14,12,8,11,13,0
2912,bernardo fernandes,73,26,186,76,3,71,49,61,68,72,73,67,30,67,67,53,67,47,32,56,70,68,74,63,73,68,72,81,74,73,68,72,71,62,58,43,69,74,73,74,15,12,13,14,12,0
2913,nahuel molina,73,23,175,70,2,78,64,67,72,68,66,72,68,60,71,58,74,63,32,64,71,79,77,74,65,69,69,75,79,57,58,70,70,70,66,38,68,68,70,63,12,13,8,5,10,0
2914,yu kobayashi,73,33,177,72,3,74,74,67,73,30,63,71,75,70,69,72,72,57,56,58,73,73,75,85,69,67,71,64,67,69,73,45,31,79,70,73,71,24,24,26,8,9,14,12,14,0
2915,alexis vega,73,23,173,77,3,78,74,72,77,30,72,65,76,59,76,65,80,53,70,72,76,79,78,77,72,75,75,70,78,76,75,55,16,71,75,66,71,44,19,18,5,11,12,8,7,0
2916,miha zajc,73,27,178,76,4,70,70,74,73,59,63,69,68,61,76,69,72,72,72,74,75,68,71,74,71,74,75,65,76,61,71,52,66,72,74,67,74,55,60,53,14,6,13,11,5,0
2917,lincoln oliveira dos santos,73,22,178,70,4,79,67,69,77,31,63,65,67,50,68,68,78,74,65,67,76,80,78,84,69,76,68,63,71,63,66,51,28,70,75,70,78,26,32,33,13,12,11,9,9,0
2918,akito fukumori,73,28,183,75,2,65,68,75,66,73,76,76,63,71,73,58,64,74,79,77,71,64,66,63,71,58,76,73,83,76,73,70,73,69,74,69,72,72,74,72,13,10,8,7,5,0
2919,sofiane alakouch,73,22,175,66,3,73,45,67,72,70,65,71,40,53,71,38,71,63,33,66,71,75,72,82,68,81,63,45,80,61,36,63,73,61,65,43,69,72,71,72,6,12,14,11,8,0
2920,vagner joshua corraldo santoso,73,21,175,70,3,72,59,63,69,71,63,71,48,59,67,64,66,58,60,51,69,74,71,79,71,77,75,73,76,56,68,64,73,63,59,55,69,71,73,72,14,11,11,11,11,0
2921,mardial sidney cunha sousa,73,21,183,77,2,74,41,60,53,77,66,59,35,74,67,40,40,58,49,65,63,77,72,68,70,41,54,72,54,76,44,53,72,33,46,45,70,79,78,79,19,10,11,11,10,0
2922,gonzalo escobar,73,24,171,70,3,81,49,65,69,68,75,66,36,48,69,46,70,52,35,67,67,80,81,72,66,77,64,76,85,68,57,79,72,70,64,47,64,67,73,70,7,14,15,10,9,0
2923,domilson cordeiro dos santos,73,22,166,71,3,88,58,64,73,66,67,73,60,55,68,49,72,46,52,59,72,85,90,80,73,86,60,80,75,67,50,55,67,77,59,50,63,68,68,64,14,14,10,14,5,0
2924,jose artur de lima junior,73,25,181,70,3,63,51,65,71,69,79,54,48,61,70,42,70,49,59,75,73,59,66,77,68,68,59,62,84,76,49,84,62,64,65,57,67,69,76,72,6,6,10,13,5,0
2925,diogo filipe pinto leite,73,22,188,73,2,60,38,46,57,75,72,29,30,76,65,32,50,35,20,53,64,61,60,56,70,59,59,70,68,73,38,75,75,30,34,38,67,74,76,72,7,5,10,8,10,0
2926,diogo costa,73,21,187,81,1,0,0,0,0,0,0,13,6,11,28,8,18,10,10,24,25,29,36,34,71,35,49,53,23,62,9,23,18,18,44,14,44,19,13,11,73,71,65,73,75,32
2927,maycon de andrade barberan,73,23,175,76,3,70,67,72,71,65,69,57,59,56,76,56,71,67,71,76,73,70,70,65,74,76,82,70,75,66,74,70,64,68,77,56,60,68,67,64,12,11,11,9,12,0
2928,laszlo benes,73,23,181,72,3,63,70,78,75,44,60,78,64,38,79,75,74,78,77,77,77,67,60,76,73,77,78,59,70,59,76,52,49,66,77,63,60,37,50,47,12,10,9,9,9,0
2929,gustavo hamer,73,24,169,61,3,69,67,74,72,67,74,74,63,53,73,66,68,73,73,75,73,71,67,77,73,86,74,72,82,64,74,87,72,65,75,58,72,67,67,66,12,7,7,9,10,0
2930,guilherme a vieira dos santos,73,26,180,72,3,85,73,64,74,26,62,69,75,56,66,64,77,70,57,49,72,84,86,79,66,71,70,55,73,68,76,35,21,75,66,66,67,24,22,19,12,13,7,12,9,0
2931,ivan oblyakov,73,22,175,74,3,74,68,76,76,56,64,77,66,58,76,53,77,73,71,76,76,72,75,77,67,80,72,62,73,61,73,60,66,73,75,52,68,50,56,55,6,14,5,7,12,0
2932,efecan karaca,73,31,166,56,3,79,63,68,76,44,45,71,66,45,72,50,74,45,63,65,75,81,77,86,74,94,65,32,76,37,55,31,41,67,68,68,65,49,42,35,9,15,11,6,13,0
2933,joao carlos fonseca silva,73,31,180,77,2,71,38,62,67,69,76,75,31,57,68,48,65,55,38,57,69,70,71,65,72,67,51,58,87,73,35,73,75,54,50,41,63,68,71,67,8,14,11,15,9,0
2934,panagiotis retsos,73,22,186,79,2,65,35,59,57,75,71,57,26,70,77,26,46,31,29,62,66,63,67,66,72,51,60,74,67,74,33,69,75,37,42,33,73,72,79,73,14,9,11,6,7,0
2935,wout faes,73,23,187,82,2,55,37,54,57,73,75,32,31,73,70,24,53,41,35,70,65,62,50,42,69,58,60,70,70,79,27,74,72,39,42,42,69,72,75,74,12,10,8,7,7,0
2936,filip stojkovic,73,28,180,76,2,73,37,70,66,70,75,74,30,68,72,36,66,67,62,71,64,70,75,69,65,70,50,73,79,74,32,73,67,61,64,36,66,68,73,75,9,13,10,14,6,0
2937,luis jesus perez maqueda,73,26,174,70,3,81,44,60,67,69,73,65,42,55,63,29,68,55,45,50,61,78,83,80,65,75,51,83,87,69,45,64,74,52,63,44,65,65,73,70,9,10,6,7,13,0
2938,vitaly janelt,73,23,184,79,3,66,62,66,68,70,75,57,57,55,71,60,67,48,49,73,69,65,67,64,71,68,70,71,79,74,68,75,74,63,68,52,69,71,72,68,6,8,6,6,14,0
2939,christian bernardi,73,31,177,73,3,79,71,68,76,50,61,69,69,65,67,65,75,81,67,65,75,81,77,86,69,81,77,57,67,63,69,49,39,75,69,69,81,45,55,53,8,7,6,7,9,0
2940,kevin bonifazi,73,25,187,85,2,52,35,51,56,75,64,34,30,68,66,36,49,41,34,52,62,52,52,48,69,65,49,73,38,72,30,73,74,35,48,44,69,74,80,75,8,8,7,14,6,0
2941,salih ozcan,73,23,180,74,3,69,62,69,75,69,73,60,66,59,75,50,75,59,53,72,76,73,65,78,70,78,64,55,82,71,52,73,68,68,74,57,72,69,74,69,13,7,9,9,11,0
2942,jean ricner bellegarde,73,23,172,70,3,79,60,69,75,69,69,60,58,60,75,48,73,57,39,73,74,78,79,83,73,84,67,60,80,65,60,65,69,70,74,47,70,70,71,67,12,15,14,10,9,0
2943,aleix febas perez,73,25,171,61,4,68,62,75,76,61,66,67,58,36,80,57,75,71,63,77,73,69,67,85,71,80,67,57,75,60,66,72,68,65,75,59,77,62,64,64,6,10,6,9,7,0
2944,dennis geiger,73,23,173,67,3,58,47,71,78,55,58,57,38,29,80,45,75,60,48,76,80,65,52,85,74,83,57,54,76,42,58,76,63,58,75,40,71,62,54,47,7,8,12,10,5,0
2945,victor nelsson,73,22,185,78,2,68,42,62,64,72,81,51,36,73,71,37,60,52,38,69,68,66,69,63,67,71,60,81,83,85,41,69,71,47,59,37,67,72,73,72,10,6,12,7,14,0
2946,guus til,73,23,186,78,3,67,71,69,73,59,71,53,75,69,77,59,72,58,63,72,75,64,69,68,75,73,70,52,87,68,66,65,66,77,73,66,69,52,59,57,12,6,12,11,14,0
2947,santiago comesana veiga,73,24,184,75,3,63,67,64,69,72,73,49,69,66,72,49,68,48,47,71,75,65,62,62,72,57,70,61,78,76,74,63,70,63,70,39,73,75,73,69,8,11,11,6,9,0
2948,irvin cardona,73,23,185,76,3,73,74,67,72,26,63,56,75,63,74,77,73,68,58,58,74,74,73,70,69,63,78,80,70,71,68,28,24,78,72,72,67,27,17,20,9,11,6,13,13,0
2949,enzo diogo merques gomes,73,25,187,76,3,72,64,70,73,67,74,75,57,68,72,66,74,74,70,64,75,69,74,72,77,57,71,68,73,72,73,82,64,69,65,62,67,68,68,69,13,10,8,12,13,0
2950,marlion gustavo simoes paiva,73,29,180,75,3,85,56,59,70,70,71,65,50,56,61,60,72,58,47,42,66,79,89,75,73,66,73,85,79,69,51,64,73,62,63,55,63,76,66,71,14,12,7,9,12,0
2951,jorge renato praceira diniz,73,29,180,74,2,66,40,56,61,76,73,60,36,81,59,28,61,60,52,56,63,64,68,59,64,63,51,66,71,76,38,72,72,42,47,44,46,75,76,77,14,11,13,10,11,0
2952,nildo enaldo reisao dinis,73,25,191,90,2,52,41,61,47,73,84,57,32,51,71,22,42,23,50,70,53,48,56,44,70,36,55,57,87,86,45,83,74,46,52,55,57,78,74,76,16,9,8,9,7,0
2953,roberto junior soira souza,73,25,187,83,2,55,45,52,63,74,71,40,22,72,65,58,64,41,49,42,68,58,52,52,73,42,70,38,53,79,67,81,68,25,53,67,66,72,80,78,8,15,8,6,11,0
2954,ovie ejaria,73,23,188,74,4,69,63,69,82,67,66,63,63,55,73,55,83,69,49,69,81,74,64,90,64,83,63,42,77,67,65,57,70,62,71,57,74,67,69,69,15,9,11,14,10,0
2955,erick cabaco,73,26,186,75,2,54,41,48,54,74,76,38,42,73,59,36,46,36,27,61,61,54,54,60,69,52,52,78,67,76,34,87,73,28,39,32,66,76,74,75,11,7,13,14,6,0
2956,souleyman doumbia,73,24,175,64,3,86,43,62,70,68,69,69,33,61,69,38,70,58,35,58,69,83,89,69,65,84,59,71,75,67,46,64,67,59,51,39,63,67,70,70,10,13,11,12,14,0
2957,alvaro fernandez llorente,73,23,186,75,1,0,0,0,0,0,0,9,8,9,29,6,14,14,13,26,30,44,51,70,65,48,50,65,37,59,5,22,14,5,41,14,52,10,11,11,77,68,67,72,75,47
2958,arnaud nordin,73,23,170,69,3,80,69,68,75,37,58,65,70,67,73,52,76,67,44,68,76,80,80,71,68,78,74,65,63,65,69,31,34,73,70,55,66,37,32,26,14,6,13,10,13,0
2959,anel ahmedhodzic,73,22,192,84,2,77,32,59,63,71,75,45,19,72,71,25,59,44,34,64,65,70,82,69,73,52,57,71,72,78,32,74,76,27,60,51,77,68,69,78,7,10,8,11,9,0
2960,gerardo arteaga,73,22,174,65,4,80,53,67,71,67,65,72,53,61,73,37,70,71,38,67,70,82,79,81,69,76,58,72,77,58,48,64,68,70,58,46,62,66,70,69,9,5,10,5,7,0
2961,martin hongla,73,23,181,77,4,82,69,70,76,66,77,57,67,73,77,60,76,71,39,78,76,80,83,81,62,74,78,81,84,78,73,63,70,63,71,55,80,64,66,58,14,9,5,8,13,0
2962,aymen barkok,73,23,189,82,4,78,66,69,78,55,65,64,69,60,74,57,81,65,60,66,81,71,84,75,69,69,69,55,65,68,61,60,53,67,71,53,62,47,59,61,7,12,13,8,13,0
2963,michael ngadeu,73,30,190,93,2,60,44,52,50,72,83,38,34,72,66,28,38,45,26,61,60,51,68,59,69,38,66,63,71,93,44,78,76,53,43,50,68,68,74,71,5,11,6,11,5,0
2964,david raum,73,23,180,75,3,86,59,66,74,64,70,76,57,57,69,52,72,66,37,59,76,87,85,77,70,76,64,63,82,67,65,62,68,59,63,49,68,59,68,66,11,8,14,12,6,0
2965,gabriel gudmundsson,73,22,181,72,3,87,64,67,72,66,70,77,59,51,69,56,75,58,43,64,70,86,88,76,67,68,75,70,76,64,71,78,66,66,62,46,63,67,70,65,12,10,7,6,8,0
2966,hannes wolf,73,22,179,69,3,77,69,67,77,36,65,63,70,57,69,63,79,73,63,64,77,80,75,77,71,74,70,73,70,67,68,54,38,71,70,65,72,25,39,38,13,10,13,6,8,0
2967,jordan torunarigha,73,23,191,80,2,74,34,63,65,75,74,56,33,78,69,26,67,34,25,73,62,73,75,62,61,64,42,75,70,78,25,68,75,50,69,42,70,73,76,75,5,7,13,5,11,0
2968,reggie cannon,73,23,180,75,2,90,36,60,70,66,75,66,30,56,66,33,70,58,21,60,69,89,91,82,61,75,48,80,90,71,31,64,63,64,56,33,59,66,71,68,6,14,10,6,11,0
2969,oleksandr karavaev,73,29,175,71,3,79,54,70,71,58,65,76,62,43,70,38,68,72,48,68,74,78,79,75,71,74,55,46,82,59,34,61,61,66,71,55,64,59,59,63,11,10,14,13,13,0
2970,tomas guidara,73,25,173,70,3,81,41,62,67,67,77,64,33,50,73,37,67,64,35,56,66,80,82,78,65,53,57,56,90,70,39,83,70,55,53,41,57,64,72,69,5,14,8,15,9,0
2971,jose ivan rodriguez,73,25,171,61,2,68,44,66,67,73,58,55,33,58,77,46,59,47,44,74,76,68,68,70,65,83,58,69,75,42,48,72,71,55,64,53,62,76,75,72,10,9,8,8,14,0
2972,julian gressel,73,27,185,84,3,71,64,73,70,63,77,77,62,60,73,60,71,74,64,68,70,70,72,64,70,63,69,63,88,75,64,72,62,72,75,62,70,63,64,62,10,6,7,13,10,0
2973,amir abedzadeh,73,28,186,80,1,0,0,0,0,0,0,12,10,13,24,12,10,13,14,35,15,30,25,53,70,36,50,55,21,60,11,26,14,10,50,11,34,13,14,14,72,70,67,73,73,28
2974,djordje mihailovic,73,22,178,69,3,66,65,73,74,60,68,70,64,54,76,64,74,70,64,70,75,68,65,71,74,72,69,53,87,63,64,58,62,72,76,55,74,67,58,42,14,5,6,14,13,0
2975,arnaud bodart,73,23,186,80,1,0,0,0,0,0,0,15,22,15,20,7,19,15,11,33,29,25,34,22,67,26,51,61,20,55,11,15,15,6,42,10,66,10,12,14,73,73,68,70,75,29
2976,rodrigo alves soares,73,28,176,73,3,74,60,73,73,69,71,74,48,59,73,44,73,72,68,72,71,75,73,74,70,76,78,80,74,70,71,65,72,67,76,67,73,69,71,70,12,14,9,8,13,0
2977,marco friedl,73,23,187,82,2,70,40,58,65,74,75,63,32,66,64,45,62,45,42,66,70,67,72,63,72,62,46,66,71,77,44,78,72,55,44,45,60,74,79,72,11,15,6,6,7,0
2978,patrick cutrone,73,23,183,79,3,72,71,55,71,29,69,48,76,73,64,70,70,66,42,44,73,69,74,68,72,74,72,74,66,72,60,62,14,78,56,68,72,36,20,18,10,7,7,10,5,0
2979,kevin danso,73,22,190,87,2,78,32,45,56,72,76,39,26,78,55,31,52,35,31,48,58,70,84,59,66,51,49,81,56,85,25,79,65,33,35,42,65,70,76,73,12,13,6,11,15,0
2980,jon guridi aldalur,73,26,179,64,3,66,63,67,75,61,57,54,70,43,75,43,75,50,45,72,76,68,65,72,73,76,51,48,72,54,69,48,71,69,70,43,71,53,71,53,12,8,9,11,13,0
2981,nahuel bustos,73,22,176,64,3,80,73,66,76,33,68,65,73,63,71,63,75,73,61,61,73,79,80,83,73,83,74,70,75,69,72,54,27,77,63,71,77,33,29,31,11,14,10,14,12,0
2982,enzo copetti,73,25,180,88,2,81,72,62,69,48,86,64,74,73,67,55,67,48,40,57,68,80,82,72,69,85,78,87,84,88,68,83,42,70,63,74,65,44,48,47,7,9,14,15,12,0
2983,nazim sangare,73,27,185,72,2,88,44,62,72,68,75,65,34,59,69,41,73,68,31,64,68,89,87,84,68,64,63,81,90,71,45,66,65,70,53,39,68,70,70,67,6,14,15,9,10,0
2984,pedro miguel cunha sa,73,27,185,81,2,61,55,62,67,69,78,43,43,61,73,49,62,67,40,74,70,58,63,70,72,70,75,80,91,70,67,79,69,49,57,51,71,67,72,70,6,8,6,11,8,0
2985,maximilian ullmann,73,25,180,65,2,86,60,64,69,65,70,70,54,63,67,47,67,59,49,59,69,86,86,73,70,76,70,83,93,57,63,71,67,59,59,74,65,63,66,64,9,14,7,8,10,0
2986,ibrahima niane,73,22,187,73,3,82,74,54,71,20,62,56,75,75,58,55,74,58,51,44,70,85,80,73,67,54,79,73,65,70,70,36,13,74,54,71,67,13,14,16,10,7,8,6,15,0
2987,emre kilinc,73,26,174,68,3,77,69,67,74,47,59,64,68,38,72,49,74,68,50,65,72,80,74,84,72,78,73,37,83,51,75,52,58,68,68,67,65,41,50,38,15,6,11,14,14,0
2988,herve koffi,73,24,186,81,1,0,0,0,0,0,0,11,8,13,23,6,13,14,13,26,27,58,53,60,71,57,52,80,30,68,7,30,14,8,44,16,58,13,11,10,75,71,69,69,76,56
2989,azor matusiwa,73,23,173,72,2,62,47,58,67,72,80,46,38,58,69,42,66,44,41,67,68,65,59,65,71,79,60,86,83,76,54,84,78,52,52,50,66,70,76,72,6,9,13,11,12,0
2990,ibrahima diallo,73,22,179,68,3,64,48,64,70,71,72,52,41,59,71,36,69,52,39,72,70,68,61,71,68,77,55,62,79,67,54,78,74,57,68,64,67,72,71,69,8,9,8,14,6,0
2991,kai wagner,73,24,182,78,2,75,43,62,68,70,77,70,34,65,72,41,69,59,60,65,67,73,76,69,63,65,74,85,81,76,32,74,65,54,33,30,68,71,73,73,14,13,13,13,14,0
2992,masaya okugawa,73,25,177,62,3,76,65,68,78,38,42,70,69,59,72,70,79,62,60,64,77,84,70,86,69,80,53,43,69,32,68,33,39,68,67,65,73,45,29,24,6,8,14,13,13,0
2993,michael cuisance,73,21,181,74,4,69,67,78,77,53,62,77,59,49,78,63,77,85,74,80,79,76,63,84,69,75,78,59,64,64,75,57,48,63,78,61,62,49,61,55,9,14,11,8,15,0
2994,michal sacek,73,24,178,72,3,75,63,71,74,69,72,68,59,61,75,64,74,63,60,71,73,77,73,80,73,78,69,74,82,65,67,75,70,67,70,61,74,72,69,69,12,14,14,12,5,0
2995,paulo henrique sampaio filho,73,20,177,77,4,77,67,69,80,36,61,65,68,47,74,58,82,73,55,68,80,77,77,79,66,82,71,67,56,70,65,45,41,67,69,58,73,29,37,32,13,13,10,15,12,0
2996,ousseynou ba,73,25,192,84,2,69,31,46,56,72,79,34,26,73,57,29,44,38,30,53,67,68,69,63,62,65,45,79,72,85,27,74,72,29,37,42,66,70,74,75,9,13,15,12,11,0
2997,kunde malong,73,25,180,79,3,83,71,69,74,69,81,66,69,54,73,52,76,68,40,70,76,82,84,66,72,76,80,76,75,84,73,84,70,76,74,57,69,73,70,70,11,13,5,8,9,0
2998,lukas julis,73,26,187,86,3,82,71,60,69,29,68,63,77,70,64,65,69,55,48,54,70,81,83,72,70,56,71,73,69,68,62,67,22,77,60,54,70,21,29,27,8,15,12,7,8,0
2999,mbala nzola,73,24,185,82,3,86,70,59,68,29,75,52,74,70,68,60,68,62,44,62,71,83,89,65,69,60,70,71,69,86,62,58,29,74,49,70,71,20,24,28,12,14,6,13,15,0
3000,martin ojeda,73,22,179,78,3,81,71,69,74,33,59,65,68,57,72,71,73,74,70,67,74,82,80,81,65,83,80,48,74,58,70,47,41,69,69,68,66,27,27,33,7,15,5,13,10,0
3001,nathaniel phillips,73,24,190,84,2,53,30,49,51,73,78,30,23,78,66,30,48,29,35,58,52,51,54,44,69,55,49,78,69,82,21,80,69,28,39,45,62,74,75,70,9,6,6,12,10,0
3002,nahuel tenaglia,73,25,181,70,2,72,43,63,72,71,76,66,37,61,68,39,72,35,40,60,70,71,73,74,70,74,47,67,80,72,51,82,74,64,68,40,72,70,72,74,12,7,9,8,8,0
3003,borja sanchez laborde,73,25,185,80,4,76,69,72,73,41,65,70,69,64,73,69,73,73,72,71,73,77,76,82,69,60,70,71,67,67,71,58,38,70,73,57,74,39,38,36,12,13,11,6,7,0
3004,marc guehi,73,20,185,75,2,71,31,49,64,74,72,35,24,68,67,32,61,29,32,55,66,65,76,62,73,65,49,73,67,77,26,67,74,33,38,38,63,76,75,72,8,9,11,12,12,0
3005,eljif elmas,73,21,184,74,3,71,69,71,77,61,67,64,64,58,77,56,78,61,54,74,77,76,67,84,70,69,79,49,69,64,75,77,55,66,73,58,70,56,69,62,8,5,14,6,15,0
3006,daniel raba antolin,73,25,184,76,4,66,71,72,73,38,58,74,74,42,73,52,75,68,42,75,76,69,63,69,65,56,71,49,55,63,70,50,40,74,72,67,65,38,36,38,12,11,15,12,14,0
3007,jawad el yamiq,73,29,192,80,2,68,46,49,60,73,77,35,37,78,63,30,55,35,25,66,60,69,68,72,71,67,67,84,73,80,52,74,75,35,37,41,67,72,71,68,15,12,10,10,8,0
3008,mohamed bayo,73,23,188,76,2,72,75,60,73,25,60,57,77,63,63,71,75,69,51,46,75,72,72,69,74,55,76,59,62,68,69,38,23,75,66,73,72,24,19,16,14,14,5,11,14,0
3009,manuel morlanes arino,73,22,178,75,3,69,62,73,75,68,64,65,60,55,77,60,75,66,70,75,77,73,66,76,73,75,65,63,66,63,65,66,69,60,76,68,68,70,70,68,5,9,14,11,14,0
3010,chris fuhrich,73,23,178,69,3,81,66,68,74,54,61,67,67,54,73,58,73,66,50,67,72,83,79,84,72,80,68,66,79,53,63,58,43,68,66,61,62,56,59,55,6,7,12,12,6,0
3011,albert sambi lokonga,73,21,183,73,3,66,58,72,77,67,69,68,53,61,78,58,76,71,68,73,81,63,69,78,66,68,68,71,78,63,63,70,76,63,68,41,78,58,71,68,14,7,6,13,9,0
